A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
27,0,0,0,3,3,0,0,0,8,7,9,0,12,9,11,2,13,9,9,7,11,0,11,0,3
28,0,0,0,11,0,0,0,0,9,8,10,0,13,10,12,0,14,10,10,1,12,0,12,0,2
29,0,0,0,2,0,0,0,0,10,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
30,0,0,0,12,0,0,0,0,0,1,11,0,14,11,1,0,15,11,1,8,13,0,13,0,6
31,0,0,0,13,0,0,0,0,11,0,12,0,15,12,13,0,16,12,11,9,14,0,14,0,7
32,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,17,0,1,1,2,0,0,0,2
33,0,5,0,14,0,0,0,0,0,1,2,0,2,0,1,0,18,0,1,1,15,0,0,0,2
34,0,0,0,3,4,0,2,0,12,9,13,0,16,13,14,3,19,13,2,10,16,0,15,0,3
35,0,0,0,15,0,0,0,0,0,10,14,0,17,0,15,0,20,14,12,1,17,0,16,0,2
36,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
37,0,0,0,16,0,0,0,0,0,11,0,0,2,14,1,0,21,0,13,1,18,0,0,0,2
38,0,0,0,17,0,0,0,0,0,12,0,0,18,15,16,0,22,15,14,8,19,0,17,0,8
39,0,0,0,2,0,0,0,0,13,1,2,0,2,0,1,4,3,0,1,1,20,0,0,0,2
40,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
41,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
42,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
43,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,9
44,0,6,0,18,5,0,0,0,0,1,15,0,19,16,17,0,23,16,15,1,21,0,18,0,10
45,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
46,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,19,0,2
47,0,7,0,19,0,0,0,0,0,13,16,0,20,17,18,0,24,17,1,1,22,0,20,0,11
48,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,12
49,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,23,0,0,0,13
50,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
51,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
52,0,0,0,20,6,0,0,0,0,14,17,0,21,18,19,0,25,18,16,11,24,0,21,0,14
53,0,0,0,21,0,0,0,0,14,15,18,0,22,19,20,0,26,0,1,12,25,0,0,0,2
54,0,0,0,22,0,0,0,0,15,16,19,0,23,20,21,0,27,19,17,1,26,0,22,0,15
55,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
56,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
57,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
58,0,0,0,23,0,0,0,0,0,17,20,0,2,0,1,0,28,20,1,13,27,0,0,0,16
59,2,0,0,24,7,0,0,0,16,18,21,0,24,21,22,0,29,21,18,14,28,0,23,0,17
60,0,0,0,25,0,0,0,0,0,13,22,0,25,22,23,0,30,0,1,1,29,0,24,0,18
61,0,0,0,26,0,0,0,0,0,19,23,0,26,23,24,0,31,22,1,15,13,0,25,0,19
62,0,0,0,2,0,0,0,0,0,1,2,0,27,0,1,0,3,0,1,1,2,0,0,0,2
63,0,0,0,27,8,0,0,0,17,20,2,0,2,0,25,0,32,0,19,1,30,0,0,0,20
64,0,8,0,28,0,0,0,0,0,1,24,0,28,24,17,0,33,0,20,16,7,0,26,0,21
65,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
66,0,0,0,29,0,0,0,0,0,19,25,0,29,25,1,0,34,23,1,17,31,0,27,0,2
67,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
68,0,0,0,30,0,0,3,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
69,0,0,0,2,0,0,0,2,0,1,2,0,2,0,1,5,3,0,1,1,2,0,28,0,2
70,0,0,0,31,0,0,0,0,18,21,26,0,30,0,26,0,35,24,1,3,32,0,29,0,2
71,0,0,0,32,9,0,0,0,19,22,27,0,31,26,19,0,36,25,21,18,33,0,30,0,22
72,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
73,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
74,0,0,0,33,10,0,0,0,0,1,28,0,32,27,27,0,37,26,22,19,34,0,31,0,23
75,0,9,0,34,11,0,0,0,0,1,15,0,33,28,28,0,38,27,23,1,35,0,32,0,24
76,0,0,0,2,0,0,0,0,20,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
77,0,0,0,35,0,0,0,0,21,1,29,0,34,29,29,6,39,28,24,20,15,0,33,0,25
78,0,0,0,2,0,0,0,0,22,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
79,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
80,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
81,0,0,0,2,0,0,0,0,23,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
82,0,0,0,36,0,0,0,0,24,1,30,0,35,0,30,0,40,29,25,21,36,0,34,0,2
83,0,0,0,37,0,0,0,0,25,1,27,0,2,30,1,0,41,30,26,1,37,0,35,0,2
84,0,10,0,38,0,0,0,0,26,1,26,0,36,31,31,0,42,31,27,16,38,0,36,0,26
85,0,0,0,39,0,0,0,0,27,23,15,0,37,32,7,0,43,32,28,22,39,0,37,0,27
86,0,0,0,40,12,0,0,0,0,3,31,0,38,33,1,0,44,33,1,1,40,0,38,0,2
87,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,7,3,0,1,1,2,0,0,0,2
88,0,0,0,2,0,0,0,0,0,1,2,0,2,34,1,0,3,34,1,1,2,0,0,0,2
89,0,0,0,41,0,0,0,0,28,1,32,0,39,0,32,0,45,0,29,23,41,0,0,0,2
90,0,0,0,2,0,0,0,0,0,24,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
91,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
92,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
93,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
94,0,11,0,42,0,0,0,0,29,25,7,0,40,35,33,0,46,35,30,1,42,0,39,0,28
95,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,36,1,1,2,0,0,0,2
96,0,0,0,2,0,0,0,0,0,1,2,0,2,36,1,0,3,37,31,1,2,0,40,0,2
97,0,0,0,43,0,0,0,0,0,26,33,0,41,0,34,0,47,38,32,13,2,0,0,0,2
98,3,0,0,44,0,0,4,0,30,1,34,0,42,0,1,0,48,0,33,24,43,0,0,0,29
99,0,0,0,45,0,0,0,0,0,18,35,0,43,0,1,0,49,39,1,25,44,0,41,0,2
100,0,0,0,46,0,0,0,0,31,27,36,0,44,37,35,0,50,40,34,17,45,0,42,0,30
101,0,0,0,2,0,0,0,0,32,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
102,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
103,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
104,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
105,0,12,0,2,0,0,0,0,0,1,2,0,45,38,1,0,3,0,35,1,2,0,0,0,2
106,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
107,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
108,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
109,0,0,0,47,0,0,0,0,33,11,37,0,46,39,36,0,51,41,36,26,46,0,43,0,31
110,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,47,0,0,0,2
111,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
112,0,0,0,2,0,0,0,0,34,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
113,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
114,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
115,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
116,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
117,0,0,0,48,0,0,0,0,0,1,38,0,47,40,1,0,52,0,37,25,18,0,44,0,32
118,0,0,0,49,13,0,0,0,35,28,39,0,48,41,37,8,53,42,38,27,48,0,45,0,2
119,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
120,0,0,0,50,0,0,0,0,0,1,2,0,49,0,1,0,54,0,39,1,49,0,0,0,7
121,0,0,0,51,14,0,5,3,36,29,40,0,50,0,38,0,55,43,40,28,50,0,46,0,33
122,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
123,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
124,0,0,0,2,0,0,0,0,0,1,2,0,2,42,1,0,3,0,1,29,2,0,47,0,2
125,0,0,0,2,0,0,0,0,37,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
126,0,0,0,52,0,0,0,0,0,1,2,0,51,0,1,0,56,0,1,1,51,0,48,0,34
127,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
128,0,13,0,53,0,0,0,0,0,1,2,0,2,0,1,0,57,0,1,1,2,0,0,0,2
129,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
130,0,14,0,39,0,0,0,0,0,11,15,0,37,43,1,0,58,0,1,1,52,0,49,0,35
131,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
132,0,0,0,54,15,0,0,0,0,1,41,0,52,0,39,0,59,0,1,1,53,0,0,0,36
133,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
134,0,0,0,55,0,0,0,0,38,1,42,0,53,44,40,0,60,44,1,1,15,0,50,0,37
135,0,0,0,56,16,0,0,0,39,30,27,0,48,45,41,9,61,45,41,1,54,0,51,0,2
136,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
137,0,0,0,57,0,0,0,0,40,19,43,0,5,46,42,10,62,46,42,30,55,0,52,0,38
138,0,0,0,58,0,0,0,0,0,19,27,0,54,47,43,0,63,47,43,1,56,0,53,0,39
139,0,0,0,59,17,0,0,0,0,31,27,0,55,0,44,0,64,48,44,31,57,0,54,0,40
140,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
141,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
142,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
143,0,15,0,60,0,0,0,0,0,1,15,0,13,48,45,0,65,49,45,1,58,0,55,0,41
144,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,50,1,1,2,0,56,0,2
145,0,0,0,61,0,0,0,0,41,32,44,0,56,49,1,0,66,51,46,1,59,0,57,0,42
146,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
147,0,0,0,62,0,0,0,0,0,1,45,0,57,0,1,0,67,0,1,1,2,0,0,0,43
148,0,0,0,63,0,0,0,0,0,1,2,0,2,0,1,0,68,0,1,1,2,0,0,0,2
149,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
150,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
151,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
152,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
153,0,0,0,64,18,0,0,0,0,33,2,0,58,50,1,0,69,52,1,32,60,0,58,0,44
154,0,0,0,2,0,0,0,0,0,1,2,0,2,0,46,0,3,0,1,1,2,0,0,0,2
155,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
156,0,16,0,65,0,0,0,4,0,1,2,0,59,51,1,11,70,53,47,33,61,0,59,0,2
157,0,0,0,21,0,0,0,0,42,15,18,0,22,52,47,0,71,54,1,34,62,0,60,0,2
158,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
159,0,17,0,66,0,0,0,5,43,34,46,0,60,53,48,0,72,55,48,1,63,0,61,0,45
160,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
161,0,0,0,67,19,0,0,0,0,35,23,0,61,54,49,0,73,56,49,35,64,0,62,0,46
162,0,0,0,68,0,0,0,0,44,36,47,0,43,55,50,0,74,57,50,36,65,0,63,0,47
163,0,18,0,69,0,0,0,0,45,1,48,0,1,0,51,0,75,0,51,1,40,0,0,0,48
164,0,19,0,2,0,0,0,0,0,1,2,0,2,0,1,12,3,0,1,1,66,0,0,0,2
165,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
166,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
167,0,20,0,70,0,0,0,0,46,23,49,0,62,56,52,0,76,58,1,37,67,0,64,0,49
168,0,0,0,71,20,0,0,0,0,33,2,0,1,57,1,0,77,59,1,1,51,0,65,0,50
169,0,21,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,68,0,0,0,2
170,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
171,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
172,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
173,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
174,0,22,0,72,0,0,0,0,47,19,7,0,63,58,53,0,78,60,52,25,69,0,66,0,51
175,0,0,0,73,0,0,0,0,48,1,50,0,58,59,54,0,79,61,53,1,70,0,67,0,52
176,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
177,0,0,0,74,0,0,0,0,0,1,51,0,2,0,1,0,80,0,1,1,2,0,0,0,2
178,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
179,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
180,0,0,0,2,0,0,0,0,49,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
181,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
182,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,68,0,2
183,0,0,0,75,21,0,0,0,50,15,52,0,64,60,55,13,81,62,1,1,71,0,69,0,53
184,0,0,0,76,22,0,0,0,0,37,53,0,13,61,56,0,82,63,54,38,72,0,70,0,54
185,0,0,0,77,0,0,0,0,0,1,54,0,65,62,57,0,83,0,55,1,73,0,71,0,2
186,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
187,0,0,0,78,0,0,0,0,51,1,55,0,66,63,58,0,84,64,1,1,74,0,72,0,2
188,0,0,0,79,0,0,0,0,0,1,56,0,67,0,59,0,85,0,56,39,6,0,0,0,55
189,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
190,0,0,0,2,0,0,0,0,0,1,57,0,2,0,1,0,3,0,1,1,2,0,0,0,2
191,0,0,0,80,0,0,0,0,52,11,58,0,68,64,60,0,86,65,57,16,75,0,73,0,2
192,0,0,0,2,0,0,0,0,53,1,2,0,2,0,61,0,3,0,1,1,2,0,0,0,2
193,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
194,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
195,0,0,0,81,0,0,0,0,0,18,59,0,69,65,62,0,87,66,58,1,27,0,74,0,2
196,0,0,0,82,0,0,0,0,54,38,60,0,55,66,63,14,88,67,59,13,76,0,75,0,56
197,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
198,0,0,0,2,0,0,0,0,55,1,2,0,2,0,64,0,3,0,1,1,2,0,0,0,2
199,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
200,0,0,0,83,0,0,0,0,56,35,61,0,70,67,49,0,89,68,60,40,77,0,76,0,57
201,0,0,0,84,0,0,0,0,0,39,0,0,71,0,65,0,90,0,61,41,10,0,0,0,58
202,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
203,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
204,0,0,0,85,0,0,0,0,0,0,2,0,72,68,1,0,91,69,1,1,78,0,77,0,59
205,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
206,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
207,0,23,0,84,23,0,0,0,0,40,62,0,48,0,66,0,92,0,62,1,79,0,78,0,60
208,0,0,0,2,0,0,0,0,0,1,2,0,73,0,1,15,3,0,1,1,2,0,0,0,2
209,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
210,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,63,1,2,0,0,0,2
211,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
212,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
213,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
214,0,24,0,86,24,0,0,0,0,1,15,0,13,69,1,0,93,70,1,1,80,0,79,0,61
215,0,0,0,87,0,0,0,0,0,41,21,0,1,70,67,0,94,71,64,42,81,0,80,0,2
216,0,25,0,88,0,0,0,0,57,42,63,0,74,71,68,0,95,72,1,1,82,0,81,0,62
217,0,0,0,89,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
218,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
219,0,0,0,90,0,0,0,6,58,43,38,0,75,72,69,16,96,73,65,1,83,0,82,0,63
220,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
221,0,26,0,91,0,0,0,0,59,13,0,0,1,73,70,0,97,74,66,33,84,0,83,0,64
222,4,0,0,2,25,0,0,0,0,1,2,0,76,0,1,0,3,0,1,1,2,0,0,0,2
223,0,0,0,92,26,0,0,0,60,44,64,0,77,74,71,0,98,75,67,43,85,0,84,0,65
224,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
225,0,0,0,93,0,0,0,0,0,1,65,0,1,75,72,0,99,76,68,1,86,0,85,0,66
226,0,0,0,2,0,0,0,0,0,1,2,0,78,0,1,0,3,0,1,1,2,0,0,0,2
227,0,0,0,94,0,0,0,0,61,45,66,0,79,76,73,0,100,77,69,14,87,0,86,0,67
228,5,0,0,95,27,0,0,0,62,29,67,0,80,77,74,0,101,78,70,44,88,0,87,0,2
229,0,0,0,96,0,0,6,0,63,1,2,0,2,0,75,17,102,0,1,1,89,0,0,0,2
230,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
231,0,0,0,2,0,0,0,0,0,1,68,0,2,0,1,0,3,0,1,1,2,0,0,0,2
232,0,27,0,2,0,1,0,0,64,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
233,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
234,0,0,0,97,0,0,0,0,65,19,69,0,5,78,64,0,103,79,71,17,90,0,88,0,68
235,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
236,0,0,0,2,0,0,0,0,66,1,2,0,81,0,0,0,3,0,1,1,2,0,0,0,2
237,0,28,0,95,28,0,0,0,67,29,70,0,82,79,76,18,104,80,70,45,91,0,89,0,69
238,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,81,1,1,2,0,0,0,2
239,0,29,0,98,0,0,0,0,0,46,71,0,83,80,77,0,105,82,72,31,92,0,90,0,70
240,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
241,0,0,0,99,0,0,0,0,68,11,2,0,63,81,78,0,106,0,73,46,63,0,91,0,71
242,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
243,0,0,0,100,29,0,0,0,0,47,72,0,84,82,54,0,107,83,74,47,93,0,92,0,72
244,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
245,0,0,0,101,30,0,0,0,69,29,27,0,58,83,79,19,108,84,1,48,94,0,93,0,73
246,0,0,0,102,31,0,0,0,0,19,73,0,85,0,80,0,109,0,1,49,2,0,0,0,74
247,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
248,0,0,0,103,0,0,0,7,0,13,74,0,10,84,1,0,110,0,1,33,95,0,94,0,75
249,0,0,0,104,0,0,0,0,0,1,15,0,86,85,1,0,111,85,75,1,57,0,95,0,76
250,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
251,0,0,0,2,0,0,0,0,0,1,2,0,2,0,81,0,3,0,1,1,2,0,0,0,2
252,0,0,0,2,0,0,0,0,0,1,2,0,2,86,1,0,3,0,1,1,2,0,96,0,2
253,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
254,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
255,0,0,0,2,0,0,0,0,70,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
256,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
257,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
258,0,0,0,2,0,0,0,0,0,1,2,0,87,0,64,0,3,0,1,50,96,0,0,0,2
259,0,0,0,2,0,0,0,0,71,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
260,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
261,0,0,0,105,0,0,0,0,0,1,75,0,88,87,82,0,112,86,76,33,97,0,0,0,77
262,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
263,0,0,0,106,0,0,0,8,72,48,38,0,89,88,1,0,113,87,77,37,98,0,97,0,78
264,0,0,0,107,0,0,0,0,73,1,76,0,55,89,83,0,114,88,1,1,62,0,98,0,79
265,0,30,0,108,32,0,0,0,0,49,5,0,90,0,74,0,115,89,78,37,99,0,99,0,80
266,0,0,0,109,0,0,0,0,0,1,15,0,91,0,84,0,116,90,79,1,96,0,100,0,81
