a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
24,0,34,5,5,1,4,1,1,0,1,0,12,0,0
25,2,35,2,2,0,9,4,0,0,1,0,0,7,0
26,2,36,5,5,0,9,3,0,0,1,0,0,0,0
21,2,37,1,1,5,0,2,0,1,1,0,13,0,0
8,2,38,5,5,1,5,1,0,0,1,0,14,4,1
25,1,39,6,6,1,3,1,0,0,1,0,0,0,0
8,2,40,4,4,1,9,1,0,0,1,0,15,0,0
3,1,41,0,0,1,3,1,0,0,1,0,0,0,0
27,2,42,0,0,1,10,1,0,0,1,0,4,0,0
6,2,43,1,1,4,0,4,0,1,1,0,0,0,0
15,2,44,1,1,0,2,0,0,0,1,0,7,0,0
28,3,45,0,0,1,3,1,1,0,1,0,0,0,1
3,2,46,1,1,1,9,1,0,0,1,0,14,0,0
29,2,47,3,3,2,1,4,0,1,1,0,0,0,0
30,0,48,7,7,1,6,1,0,0,1,0,0,0,0
31,2,49,7,7,0,3,0,0,0,1,0,15,0,0
15,2,50,5,5,1,1,2,4,1,1,0,0,0,0
32,2,51,1,1,0,4,3,0,1,1,0,6,4,0
33,2,52,10,10,1,3,2,0,1,1,3,8,8,1
1,3,53,0,0,2,1,0,0,0,1,0,16,0,1
33,6,54,1,1,2,1,0,0,0,1,0,8,0,0
16,2,55,5,5,1,10,1,0,0,1,0,0,0,1
34,2,56,11,11,1,9,1,0,0,1,0,0,5,0
18,2,57,7,7,1,4,1,0,0,1,0,0,7,0
30,2,58,1,1,1,0,1,0,0,1,0,17,0,0
10,2,59,1,1,1,9,1,0,0,4,0,0,0,0
10,2,60,0,0,1,5,1,0,0,5,0,0,0,0
12,5,61,8,8,3,11,0,0,0,1,0,0,4,0
25,2,62,1,1,1,7,1,0,0,1,0,0,0,0
9,2,63,9,9,1,3,1,0,0,1,0,3,0,1
31,2,64,5,5,2,10,0,0,0,1,0,18,0,0
35,2,65,1,1,1,6,1,0,0,1,0,0,0,0
4,2,66,5,5,2,0,0,0,1,1,0,0,0,0
3,2,67,1,1,1,0,2,0,1,1,0,0,0,1
6,6,68,5,5,1,1,1,0,0,1,0,4,0,1
15,5,69,5,5,0,11,3,0,0,1,0,0,0,0
21,2,70,5,5,0,3,3,0,0,1,0,19,0,0
8,2,71,0,0,4,5,3,1,1,1,0,0,0,0
31,1,72,0,0,1,5,1,0,0,1,0,20,0,1
11,2,73,5,5,0,9,0,0,0,1,0,0,0,0
36,2,74,5,5,1,3,5,0,0,1,0,9,0,0
37,2,75,1,1,0,4,3,0,0,1,0,0,5,0
13,2,76,6,6,1,0,1,0,0,1,0,0,0,0
38,5,77,12,12,1,11,1,0,0,1,0,21,0,0
32,2,78,2,2,0,4,3,0,1,1,0,22,0,0
8,4,79,8,8,1,8,1,0,0,1,0,0,0,0
32,2,80,1,1,0,5,0,0,0,1,0,6,0,0
7,2,81,0,0,1,4,1,0,0,1,0,0,1,0
34,2,82,1,1,1,4,2,0,1,1,0,0,0,0
19,2,83,1,1,1,5,1,0,0,1,0,17,0,0
29,2,84,1,1,2,6,0,0,1,6,0,0,0,1
3,2,85,1,1,2,5,3,0,1,1,0,7,0,0
6,4,86,1,1,1,12,1,0,0,1,0,0,0,1
39,2,87,3,3,1,3,1,0,0,1,0,4,0,0
10,2,88,4,4,0,5,0,0,0,1,0,0,0,0
16,3,89,9,9,0,3,0,0,1,1,0,4,0,1
28,2,90,7,7,1,3,1,0,0,1,0,0,0,0
5,2,91,5,5,2,6,4,0,1,1,0,0,0,0
4,2,92,5,5,2,9,4,1,1,1,0,13,0,0
10,2,93,1,1,1,5,2,2,1,1,4,7,4,0
14,4,94,0,0,1,12,1,0,0,1,0,0,0,1
31,4,95,5,5,0,2,0,0,0,1,0,4,0,0
25,1,96,9,9,1,3,1,0,0,1,3,8,0,1
5,2,97,5,5,1,5,1,0,0,1,0,17,0,1
25,2,98,6,6,2,1,4,0,1,1,0,0,9,0
12,3,99,1,1,0,4,3,1,0,1,0,0,0,0
40,2,100,3,3,1,1,1,0,0,1,0,0,0,1
29,2,101,0,0,1,1,1,0,0,7,0,8,0,1
33,1,102,3,3,0,3,0,0,1,1,0,4,0,0
22,2,103,5,5,0,10,3,0,1,1,0,0,0,0
31,2,104,1,1,0,6,0,0,0,1,0,0,0,0
12,6,105,1,1,1,6,1,0,0,8,0,0,0,1
41,5,106,12,12,0,11,3,0,1,9,0,19,0,0
10,2,107,2,2,0,2,3,0,0,1,0,0,0,0
8,4,108,1,1,0,0,0,0,1,1,0,0,0,0
9,2,109,1,1,1,2,1,0,0,1,0,0,0,0
27,2,110,0,0,0,5,5,0,0,1,0,0,0,0
2,2,111,10,10,1,3,1,0,0,1,0,0,0,1
20,1,112,1,1,1,4,1,0,0,1,5,4,10,1
4,2,113,5,5,1,5,2,0,1,10,0,13,0,0
35,2,114,1,1,0,9,3,0,1,1,0,0,0,0
3,2,115,4,4,1,2,1,0,0,1,0,4,0,0
20,6,116,5,5,1,5,1,0,0,1,0,4,0,0
6,4,117,7,7,1,6,1,1,0,1,0,0,0,1
42,2,118,5,5,1,5,1,0,0,1,0,23,0,0
24,2,119,1,1,0,6,0,0,0,1,0,24,0,0
26,2,120,5,5,0,4,3,0,1,1,0,0,0,0
13,2,121,0,0,1,1,1,0,0,1,0,8,0,0
10,2,122,0,0,0,1,3,1,0,1,0,0,11,0
31,0,123,0,0,1,3,1,0,0,1,0,4,0,1
21,2,124,5,5,0,4,3,1,0,1,0,7,0,0
33,2,125,0,0,1,1,2,0,1,1,0,0,0,1
22,2,126,5,5,0,0,3,0,1,1,6,25,0,0
8,2,127,6,6,1,0,1,0,0,1,0,0,0,1
18,5,128,1,1,1,11,1,0,0,1,0,0,0,0
0,2,129,5,5,2,6,0,0,0,1,0,0,0,0
4,2,130,6,6,0,5,0,0,1,1,0,8,0,0
27,2,131,1,1,0,4,0,0,1,1,7,0,0,0
2,1,132,1,1,1,6,1,0,0,11,0,7,0,0
5,2,133,0,0,1,5,1,0,0,1,0,4,0,0
34,2,134,6,6,2,10,0,1,1,1,0,26,0,0
2,3,135,3,3,1,3,1,0,0,1,0,0,12,1
16,1,136,1,1,1,6,1,0,0,1,0,8,0,0
37,2,137,7,7,1,0,2,0,1,1,0,7,0,0
22,2,138,5,5,0,5,3,0,0,1,0,9,0,0
6,2,139,5,5,1,6,1,2,0,1,0,0,0,1
43,6,140,1,1,1,6,1,0,0,1,0,0,0,0
37,2,141,5,5,0,5,3,0,1,1,0,0,0,0
21,2,142,5,5,0,4,3,0,0,1,0,6,5,0
23,2,143,7,7,0,3,0,0,1,1,8,0,0,1
44,2,144,5,5,0,10,5,0,0,1,0,0,0,0
8,2,145,1,1,0,7,4,1,1,1,0,6,0,0
24,2,146,5,5,1,4,1,0,0,1,0,27,0,0
35,2,147,1,1,6,4,4,0,1,1,0,27,0,0
45,2,148,2,2,1,6,1,0,0,1,9,0,0,0
16,5,149,5,5,2,11,0,0,1,1,0,0,0,0
33,4,150,5,5,2,0,4,0,1,1,0,14,5,0
14,2,151,1,1,0,0,0,0,1,1,0,0,0,0
39,2,152,0,0,0,1,5,2,1,1,0,0,13,0
26,2,153,1,1,0,6,3,0,0,1,0,7,0,0
7,5,154,1,1,2,11,0,0,0,1,0,3,0,1
25,2,155,1,1,1,6,1,0,0,1,0,28,0,0
11,2,156,0,0,0,2,0,0,0,1,0,0,0,0
46,1,157,5,5,4,5,4,1,0,1,10,21,0,0
31,2,158,1,1,2,6,0,0,0,1,0,8,0,0
9,2,159,0,0,4,4,5,1,0,1,0,4,0,0
47,5,160,13,13,2,11,0,0,1,1,0,9,0,0
15,2,161,1,1,0,4,4,0,1,1,0,0,0,0
29,6,162,3,3,2,1,4,2,1,1,0,0,0,0
4,2,163,1,1,0,1,0,2,1,1,0,0,9,0
23,1,164,3,3,1,5,1,0,0,1,0,0,0,1
35,2,165,5,5,2,4,4,0,1,1,0,0,5,0
0,3,166,6,6,0,1,0,0,0,1,0,29,0,0
34,0,167,3,3,6,12,4,0,0,1,0,0,0,0
32,2,168,2,2,0,2,3,0,0,1,0,2,0,0
48,4,169,7,7,6,3,0,0,1,1,0,9,0,0
37,2,170,1,1,0,4,0,0,0,1,11,0,0,0
4,0,171,1,1,1,12,1,0,0,1,0,0,0,0
49,2,172,5,5,1,5,1,0,0,1,12,0,0,1
37,2,173,0,0,0,6,0,0,0,1,0,4,0,0
4,0,174,0,0,1,3,1,0,0,1,0,0,0,1
37,2,175,1,1,3,5,4,0,1,1,0,13,0,0
26,2,176,1,1,0,6,3,1,0,1,0,0,0,0
14,2,177,1,1,0,2,0,1,0,1,0,0,0,0
32,2,178,1,1,0,4,3,0,0,1,0,30,0,0
39,2,179,0,0,1,3,1,0,0,1,0,31,0,0
29,4,180,5,5,1,1,1,1,0,1,0,14,0,1
16,2,181,5,5,2,0,0,0,1,1,0,0,0,0
10,2,182,5,5,0,6,0,1,0,1,0,3,0,0
13,2,183,8,8,1,9,1,0,0,1,0,0,5,1
5,3,184,5,5,1,0,1,0,0,1,0,29,0,1
14,2,185,1,1,1,0,1,1,0,1,0,0,0,0
30,1,186,0,0,2,1,0,0,1,1,0,0,0,0
3,5,187,0,0,2,11,0,0,1,1,0,4,0,0
8,2,188,3,3,1,3,2,0,1,1,0,4,0,0
50,0,189,9,9,1,3,1,0,0,1,0,32,0,1
2,2,190,5,5,2,9,0,1,1,1,0,25,0,0
27,2,191,5,5,1,9,1,0,0,1,0,0,0,0
30,4,192,0,0,1,6,1,1,0,1,0,0,0,0
33,2,193,5,5,1,10,1,0,0,1,0,3,0,0
30,3,194,0,0,1,10,1,0,0,1,0,27,0,0
11,2,195,11,11,1,7,5,0,0,1,0,0,5,0
35,2,196,5,5,2,6,0,0,0,1,0,0,0,0
13,3,197,3,3,0,1,0,0,1,2,0,16,0,1
18,2,198,3,3,1,3,5,0,0,12,0,0,0,1
27,1,199,1,1,0,5,0,0,0,1,0,0,0,0
51,2,200,3,3,0,3,0,0,1,1,13,0,0,0
21,5,201,1,1,0,11,3,0,0,1,0,0,14,0
49,2,202,0,0,1,1,1,0,0,1,0,4,0,1
9,4,203,5,5,0,3,0,0,1,1,14,0,0,0
5,0,204,1,1,2,0,4,0,1,1,0,7,0,0
32,2,205,2,2,0,5,3,0,1,1,0,0,0,0
35,2,206,0,0,1,4,1,1,0,12,0,26,0,1
18,2,207,1,1,2,6,0,0,0,1,0,8,0,0
50,6,208,1,1,1,5,2,0,1,7,0,7,0,1
41,2,209,2,2,0,5,3,0,1,1,0,30,0,0
29,4,210,1,1,1,7,1,1,0,1,0,0,0,0
5,2,211,1,1,1,6,1,0,0,1,0,0,0,1
18,2,212,5,5,0,5,0,3,1,1,0,0,0,0
52,2,213,1,1,1,6,1,2,0,1,0,0,0,0
17,6,214,8,8,1,9,1,0,0,1,0,0,0,1
5,2,215,0,0,0,1,0,1,0,1,0,8,0,1
1,2,216,6,6,2,5,0,0,1,1,0,0,0,0
2,2,217,0,0,1,5,1,0,0,1,0,4,15,0
23,2,218,0,0,1,3,1,0,0,1,0,16,0,0
15,2,219,12,12,0,6,0,0,0,1,0,0,0,0
8,2,220,5,5,1,2,1,0,0,1,0,0,0,0
45,5,221,13,13,2,11,0,0,0,1,0,0,0,0
53,2,222,1,1,0,4,0,1,0,1,15,0,0,0
17,2,223,1,1,1,0,1,1,0,1,0,9,0,0
3,4,224,14,14,0,9,0,0,1,1,0,7,0,0
32,2,225,1,1,0,5,3,0,1,1,0,0,0,0
52,5,226,12,12,2,11,0,3,1,1,0,33,0,0
48,1,227,1,1,1,8,1,0,0,13,0,4,0,0
54,2,228,7,7,6,0,0,0,1,1,0,9,16,0
55,2,229,1,1,2,0,0,0,1,1,0,0,0,0
18,2,230,2,2,4,7,0,1,0,14,0,0,0,0
30,2,231,1,1,2,5,4,1,1,1,0,14,0,0
15,2,232,5,5,0,0,0,0,0,1,0,29,0,0
39,2,233,5,5,2,6,5,4,1,1,0,0,0,0
4,2,234,10,10,0,3,0,0,0,1,0,16,0,1
19,0,235,1,1,1,4,1,0,0,1,0,0,0,0
13,0,236,5,5,0,0,0,0,1,1,0,14,0,0
30,2,237,0,0,1,1,1,0,0,1,0,4,12,1
2,4,238,3,3,1,1,1,0,0,1,0,20,0,1
11,2,239,1,1,0,7,3,0,0,1,0,0,0,0
13,2,240,0,0,1,3,1,0,0,1,0,0,0,1
30,1,241,1,1,1,4,2,0,1,1,0,9,0,0
27,0,242,6,6,1,12,1,0,0,1,0,4,0,0
22,5,243,5,5,0,11,3,0,0,1,0,9,0,0
2,2,244,5,5,2,6,0,0,0,1,16,0,0,0
20,2,245,1,1,1,0,1,0,0,1,0,7,4,0
50,2,246,1,1,1,0,1,0,0,1,0,3,0,1
12,2,247,1,1,0,4,0,0,1,1,0,34,0,0
13,2,248,6,6,1,10,1,0,0,1,12,8,0,1
23,2,249,1,1,1,0,1,0,0,1,0,0,4,0
30,2,250,10,10,1,3,2,0,1,1,0,0,0,1
9,2,251,0,0,1,0,2,1,1,1,0,0,0,0
19,4,252,12,12,6,4,4,1,1,1,0,6,0,0
21,4,253,5,5,0,0,3,0,0,1,0,0,0,0
50,2,254,5,5,0,7,0,0,0,1,0,9,0,0
9,1,255,1,1,1,8,1,2,0,1,0,0,17,1
22,2,256,1,1,0,4,3,0,1,1,0,0,0,0
12,2,257,1,1,4,4,0,0,1,1,0,6,0,0
23,2,258,7,7,6,1,0,0,1,1,0,3,0,0
1,2,259,8,8,2,6,0,0,0,1,0,0,0,0
35,2,260,0,0,2,3,3,0,1,1,0,0,0,0
23,2,261,1,1,1,5,1,0,0,1,0,8,0,0
41,2,262,2,2,0,4,3,0,0,1,0,30,0,0
19,2,263,5,5,1,5,1,0,0,10,0,0,0,0
51,2,264,2,2,1,6,1,0,0,1,0,0,0,0
5,6,265,5,5,1,1,1,2,0,1,0,35,18,1
21,5,266,5,5,0,11,3,0,0,1,0,27,10,0
45,2,267,1,1,1,1,1,0,0,1,0,0,0,1
39,2,268,0,0,0,3,0,0,1,1,0,3,0,0
39,2,269,1,1,1,6,2,0,1,1,0,0,0,1
43,2,270,1,1,1,1,1,0,0,1,0,0,0,1
41,2,271,4,4,0,4,3,0,0,15,0,27,0,0
1,1,272,3,3,1,8,1,0,0,5,0,36,0,0
37,4,273,3,3,0,3,3,0,0,1,0,7,0,0
10,2,274,1,1,2,3,3,0,1,1,0,0,0,0
16,2,275,1,1,1,2,1,1,0,1,0,0,0,0
29,2,276,5,5,1,6,1,0,0,12,0,0,0,1
18,2,277,5,5,0,1,0,0,1,1,0,0,0,0
15,2,278,5,5,0,10,3,0,1,1,0,0,0,0
27,2,279,5,5,1,9,2,0,1,12,0,17,0,1
24,2,280,0,0,0,3,0,0,1,1,0,12,11,0
9,4,281,5,5,1,6,1,0,0,3,0,0,0,1
14,2,282,6,6,2,5,4,1,1,1,0,3,0,0
52,2,283,0,0,2,3,0,0,1,1,0,29,0,0
26,2,284,1,1,0,2,3,0,0,1,0,0,0,0
28,3,285,3,3,1,5,1,0,0,7,0,0,0,1
30,2,286,10,10,1,3,1,0,0,1,0,8,0,1
1,2,287,5,5,2,4,0,0,0,1,0,3,0,0
15,2,288,0,0,0,1,0,0,1,1,0,0,0,0
1,2,289,8,8,1,6,1,0,0,1,0,0,19,0
35,2,290,0,0,1,3,1,0,0,1,0,3,0,0
8,2,291,1,1,2,3,0,0,1,1,0,0,0,0
31,4,292,0,0,0,12,0,0,0,1,0,23,0,0
26,2,293,5,5,0,5,3,0,0,1,0,3,0,0
37,2,294,0,0,0,10,4,1,1,1,0,0,0,0
55,2,295,1,1,1,7,1,0,0,1,0,2,0,0
5,6,296,0,0,2,5,0,0,1,1,0,8,0,0
0,5,297,3,3,1,11,2,2,1,16,0,0,4,0
27,2,298,1,1,0,6,3,0,0,1,0,0,0,0
2,2,299,1,1,2,5,0,0,0,1,0,5,0,0
25,2,300,0,0,1,0,1,0,0,8,0,0,0,1
26,2,301,5,5,0,4,0,2,1,1,0,13,0,0
8,2,302,1,1,1,7,1,0,0,1,0,3,0,1
42,2,303,1,1,1,5,1,0,0,11,0,0,0,1
27,2,304,5,5,1,0,2,2,1,1,0,0,20,0
16,2,305,1,1,2,0,0,0,1,1,0,0,0,0
51,2,306,6,6,0,10,0,0,0,1,0,3,0,0
34,2,307,6,6,0,3,0,0,1,1,0,37,0,0
18,2,308,6,6,1,0,1,0,0,1,0,0,0,1
30,6,309,5,5,1,8,1,0,0,1,0,38,0,1
51,2,310,0,0,0,5,0,0,0,1,0,0,0,0
14,2,311,3,3,1,1,1,2,0,12,0,7,21,1
21,5,312,5,5,0,11,3,1,1,1,0,13,0,0
35,1,313,0,0,2,3,0,1,1,1,0,0,0,1
24,2,314,5,5,0,5,3,0,0,1,0,12,0,0
27,2,315,5,5,0,9,0,0,0,1,0,0,0,0
56,1,316,5,5,1,5,1,0,0,1,0,0,0,0
24,2,317,11,11,1,9,5,0,1,1,0,0,5,0
31,2,318,5,5,0,10,0,0,1,1,0,0,0,0
57,2,319,1,1,6,4,0,0,1,1,0,27,0,0
0,1,320,1,1,1,1,1,0,0,1,0,0,0,0
16,2,321,5,5,1,6,1,0,0,1,17,4,0,0
18,2,322,1,1,2,7,0,0,0,1,0,3,0,0
31,2,323,2,2,0,1,0,0,1,1,0,0,0,0
40,1,324,3,3,1,6,1,0,0,1,0,33,0,0
58,1,325,1,1,1,8,1,0,0,1,0,3,0,0
11,5,326,7,7,0,11,3,1,1,1,0,12,0,0
16,2,327,5,5,1,3,2,0,1,1,5,4,0,1
50,1,328,1,1,1,2,1,0,0,1,0,0,0,0
48,2,329,1,1,0,7,0,0,0,17,0,16,0,0
30,2,330,5,5,0,6,0,1,0,1,0,3,0,0
51,2,331,0,0,0,0,0,0,0,1,0,0,0,0
33,2,332,7,7,0,4,0,0,0,1,0,0,0,0
42,4,333,12,12,1,0,1,0,0,1,0,0,0,0
3,2,334,1,1,1,7,1,0,0,1,0,0,0,0
41,2,335,11,11,0,4,5,0,0,1,0,17,5,0
10,2,336,1,1,0,6,5,0,0,1,0,0,0,0
6,2,337,3,3,0,3,0,0,0,1,0,8,0,0
21,2,338,1,1,0,5,4,1,0,1,0,6,22,0
23,2,339,1,1,1,4,1,1,0,1,0,0,0,0
51,2,340,6,6,0,5,0,0,0,1,0,0,0,0
2,2,341,7,7,1,6,1,0,0,12,0,0,0,1
35,0,342,1,1,1,12,1,0,0,12,0,0,0,1
39,2,343,1,1,0,8,0,0,0,1,0,9,0,0
24,0,344,5,5,0,12,3,1,1,1,0,0,0,0
16,1,345,0,0,0,5,0,0,0,1,0,29,0,0
38,5,346,2,2,1,11,1,0,0,1,0,39,0,0
10,5,347,7,7,2,11,4,0,1,1,0,0,0,0
20,2,348,6,6,3,4,0,0,0,1,0,13,12,0
8,2,349,0,0,0,3,3,0,0,1,0,13,0,0
39,2,350,0,0,1,1,1,0,0,1,0,0,0,1
51,2,351,1,1,1,4,1,0,0,1,0,0,0,0
39,2,352,0,0,1,1,1,0,0,1,0,0,0,1
34,4,353,2,2,1,7,1,0,0,1,0,6,0,0
19,5,354,0,0,1,11,1,0,0,1,0,0,0,1
2,3,355,1,1,1,0,1,0,0,1,0,0,0,1
55,2,356,2,2,6,4,4,4,0,1,0,0,0,0
13,2,357,7,7,1,10,1,0,0,1,0,0,0,1
9,2,358,1,1,1,0,2,0,1,1,0,7,0,0
51,1,359,4,4,1,6,1,0,0,1,0,0,23,0
35,2,360,12,12,1,4,2,0,1,1,0,27,0,0
57,2,361,3,3,1,3,1,0,0,1,0,0,0,1
16,2,362,0,0,1,7,1,0,0,1,0,3,0,0
16,2,363,0,0,2,1,0,0,0,1,8,3,0,1
24,2,364,1,1,3,5,0,0,0,1,0,16,0,0
4,2,365,1,1,1,6,1,0,0,1,0,0,0,0
20,1,366,5,5,1,5,1,0,0,1,0,3,0,0
24,2,367,6,6,0,5,0,0,1,1,0,12,0,0
28,2,368,0,0,2,1,0,0,1,1,0,3,0,1
0,2,369,1,1,2,5,4,0,1,1,0,0,0,0
51,3,370,5,5,0,0,4,0,1,1,0,12,0,0
41,2,371,2,2,0,4,3,0,0,1,0,33,0,0
13,0,372,7,7,1,9,1,0,0,1,0,14,0,1
23,2,373,1,1,1,9,1,1,0,1,0,0,0,0
29,2,374,1,1,0,6,0,1,0,1,0,0,0,0
22,4,375,5,5,0,0,3,0,1,1,0,33,0,0
39,2,376,1,1,1,6,2,0,1,1,0,0,0,0
11,2,377,5,5,0,5,0,0,0,1,0,0,0,0
34,1,378,3,3,2,1,0,0,0,1,0,6,0,0
2,2,379,1,1,1,5,1,0,0,1,0,4,0,0
17,2,380,1,1,2,7,0,0,0,1,0,0,0,0
34,2,381,11,11,2,6,0,0,1,1,18,3,0,0
15,2,382,5,5,1,6,1,0,0,1,0,0,0,0
34,2,383,5,5,2,5,0,0,1,1,0,0,0,0
35,4,384,5,5,1,7,2,0,1,1,0,0,0,0
11,2,385,1,1,0,4,0,0,1,1,0,13,0,0
31,2,386,1,1,4,9,0,0,0,1,0,0,0,0
29,2,387,5,5,1,0,2,0,1,1,19,40,0,1
21,2,388,5,5,0,0,3,0,1,1,0,2,0,0
21,2,389,1,1,0,4,5,0,1,1,0,0,0,0
18,2,390,1,1,1,4,2,0,1,1,0,0,0,1
37,2,391,0,0,0,6,0,0,0,1,0,4,0,0
34,1,392,6,6,4,6,0,0,0,1,0,0,0,0
14,0,393,0,0,1,1,1,0,0,8,0,3,4,1
14,2,394,1,1,0,4,0,0,1,1,0,7,0,0
29,2,395,5,5,1,10,1,0,0,1,0,0,0,0
23,2,396,5,5,2,2,4,0,1,1,0,0,0,0
22,5,397,1,1,0,11,5,0,1,1,0,7,0,0
15,2,398,0,0,1,1,1,0,0,1,0,16,0,1
7,6,399,0,0,1,1,1,0,0,1,0,4,0,1
22,2,400,5,5,0,2,3,0,0,1,0,0,0,0
4,2,401,5,5,0,4,0,0,1,1,0,0,0,0
1,0,402,0,0,1,12,1,0,0,1,0,0,0,1
14,2,403,7,7,2,10,0,0,1,1,0,41,0,0
4,2,404,8,8,1,2,1,4,0,1,9,0,7,0
30,2,405,3,3,1,1,1,0,0,1,12,31,0,1
4,2,406,1,1,1,0,1,0,0,1,0,0,0,0
34,1,407,1,1,1,6,1,0,0,1,0,13,0,0
4,5,408,5,5,1,11,2,0,1,1,5,0,0,1
12,2,409,5,5,1,1,1,0,0,1,0,4,0,0
30,4,410,5,5,2,4,0,1,1,1,0,27,0,0
27,2,411,1,1,0,2,4,1,1,1,0,0,0,0
39,2,412,5,5,2,1,4,0,1,1,0,0,0,0
34,2,413,9,9,1,1,1,0,0,7,0,8,0,1
8,0,414,5,5,1,9,1,0,0,1,0,0,0,0
18,2,415,15,15,2,6,0,0,0,1,0,4,0,1
7,2,416,13,13,1,9,1,0,0,1,0,0,5,0
10,2,417,2,2,0,4,3,0,1,1,0,42,0,0
14,4,418,2,2,4,9,0,1,0,1,0,0,0,0
14,0,419,1,1,2,7,4,0,1,1,0,0,0,0
22,2,420,5,5,1,5,1,0,0,1,0,6,0,0
41,2,421,2,2,0,2,3,0,0,18,0,43,0,0
12,0,422,0,0,1,1,2,0,1,1,0,0,0,1
31,2,423,1,1,2,8,0,0,0,1,0,0,0,0
39,2,424,12,12,0,6,4,0,1,1,0,7,0,0
15,2,425,1,1,1,7,1,0,0,1,0,8,0,0
35,3,426,3,3,0,3,0,0,0,1,2,0,0,0
11,2,427,1,1,0,2,0,0,0,1,0,44,24,0
58,6,428,1,1,1,1,1,0,0,1,0,0,0,1
33,4,429,3,3,1,3,1,0,0,1,0,0,0,0
59,5,430,1,1,6,11,0,0,0,1,0,27,0,0
41,5,431,2,2,0,11,3,0,0,1,0,0,0,0
13,1,432,0,0,3,3,0,0,1,0,0,0,0,0
10,2,433,6,6,1,4,2,0,1,1,0,13,0,1
37,2,434,5,5,0,6,3,2,0,1,11,0,13,0
39,2,435,3,3,1,3,1,0,0,1,0,4,0,1
14,4,436,1,1,0,8,0,1,0,19,0,8,0,0
14,4,437,5,5,0,12,0,0,1,1,0,0,0,0
11,2,438,5,5,1,0,1,0,0,1,0,0,0,0
9,4,439,5,5,1,0,2,0,1,1,0,0,0,0
31,2,440,0,0,0,3,0,0,0,1,0,0,0,0
23,2,441,1,1,2,0,0,0,1,1,0,25,0,0
27,3,442,1,1,0,13,3,0,0,1,0,0,0,0
29,2,63,5,5,1,3,1,0,0,1,0,0,0,1
37,2,443,4,4,0,6,5,0,0,1,0,0,5,0
22,2,444,5,5,0,5,0,0,0,1,0,7,0,0
29,2,445,1,1,6,1,4,1,1,1,0,0,0,0
49,2,446,1,1,1,6,1,3,0,1,0,0,0,0
22,2,447,1,1,1,9,1,0,0,1,0,0,0,0
41,5,448,2,2,0,11,3,0,1,1,0,45,0,0
21,2,449,1,1,0,9,3,1,1,1,0,0,0,0
23,6,450,5,5,1,6,1,0,0,1,0,16,0,1
52,2,451,1,1,1,6,1,0,0,1,0,0,0,1
9,2,452,6,6,1,1,1,1,0,1,0,0,4,1
29,1,453,1,1,1,5,2,0,1,1,0,0,0,1
13,2,454,7,7,1,9,1,2,0,1,0,0,0,1
10,2,455,1,1,1,1,2,0,1,1,0,0,0,0
2,2,456,5,5,1,7,1,1,0,1,0,4,0,0
11,2,457,1,1,1,7,1,0,0,1,0,8,0,0
12,5,458,5,5,1,11,1,0,0,1,0,0,0,0
29,2,63,6,6,0,8,3,0,0,1,0,0,0,0
17,4,459,1,1,1,7,1,1,0,1,0,0,0,0
12,2,460,0,0,1,3,1,0,0,1,0,4,0,0
1,2,461,13,13,3,6,4,0,0,1,0,0,0,0
